"Age","Year","Principal","Low","High","Principal.2012","Low.2012","High.2012"
39,2026,49.07989988,38.35439922,47.03380056,40.0133621548706,36.638596921381,42.8415649946914
40,2026,33.00278094,27.2807782,35.35252908,29.6578187802533,26.8436091911068,32.8665899527292
41,2026,24.24030612,17.92755437,23.28764109,19.5302801762107,17.6403317709217,21.6239563094494
42,2026,15.03773617,11.167768,14.58486049,12.4458462631508,11.1992476851851,13.8046763372431
43,2026,8.817853968,6.54323318,8.56958175,7.064403749405,6.35173046534881,7.84153827368394
44,2026,5.138949044,3.804958623,5.002521902,4.05270964127929,3.641066806156,4.50589400780963
45,2026,2.65658561,2.654140668,2.605726135,2.30386005478582,2.07345861202077,2.56825021824714
46,2026,3.590427853,3.587123465,3.521690269,2.92946894523081,2.63650242145499,3.26565376326068
47,2026,3.590427853,3.587123465,3.521690269,2.92946894523081,2.63650242145499,3.26565376326068
48,2026,3.590427853,3.587123465,3.521690269,2.92946894523081,2.63650242145499,3.26565376326068
49,2026,3.590427853,3.587123465,3.521690269,2.92946894523081,2.63650242145499,3.26565376326068
15,2027,1.554948466,1.577175891,1.593071818,2.07981872507464,1.86558288510002,2.33283807081047
16,2027,4.285994422,4.339254189,4.646489789,5.65691085438969,5.07770753382463,6.34304629422678
17,2027,12.35614837,12.53251079,13.42316607,14.3717692927917,12.6659575504076,16.1708567112058
18,2027,20.11256476,20.41804752,24.15436558,23.4305207791339,20.3194015499157,26.4195726045435
19,2027,32.67560346,32.03885409,38.19531613,33.7292236336338,28.8360304622879,38.0710147470309
20,2027,41.5406796,39.47476459,47.96673915,47.2269029226475,40.6972520153285,54.716019267523
21,2027,47.56168453,44.78476373,54.75942965,54.5562481215037,45.7489230514186,62.2058321981196
22,2027,54.70836835,51.05289244,62.50601013,64.6213395136655,54.1291249503735,73.7668587583076
23,2027,62.7678559,58.09727418,71.12111193,71.6835246757622,59.9523377962764,81.8431679180006
24,2027,73.29850276,65.85207929,80.33273306,80.3144486688739,67.3917023248365,91.3703145966641
25,2027,84.63095011,74.88909491,90.22541172,87.9372262680901,76.6249101275715,100.114442123212
26,2027,94.60670808,83.7478676,100.4547178,94.5465283268465,82.9024056252335,107.483623166694
27,2027,104.0559184,92.19151937,110.0354501,101.889286488309,89.7653338169403,115.530086964861
28,2027,110.284123,97.91011461,116.2290224,108.940597113799,96.6651515318247,122.929321785874
29,2027,117.2178393,106.2065655,125.1856999,113.439670625584,101.248926484928,127.279771659956
30,2027,117.9430118,108.4502693,132.7804492,119.772234522849,109.795737064578,130.905462850886
31,2027,121.2909039,113.0624361,137.2057618,123.502787412542,113.80160151192,134.030833915345
32,2027,118.6969892,109.9612862,132.5427117,118.499692403107,109.621532056632,127.831339941311
33,2027,111.4655562,103.5156209,124.2094325,112.985366878414,104.96779201567,121.280254559737
34,2027,105.6157341,97.25780236,116.0921608,106.000770673445,98.8696837810857,113.27330265017
35,2027,95.28663203,87.33212595,107.4919624,96.5613557868455,88.2529221918073,102.462972416048
36,2027,85.19573667,75.66552052,92.7949639,81.6098649379508,74.8618253724986,87.5843677884971
37,2027,72.40640564,62.04263989,75.97525469,67.0089599865466,61.4919200789164,71.7450876068489
38,2027,59.59743332,48.88252391,59.85245517,51.6452653352267,47.4647240274141,55.207897470714
39,2027,49.12577506,38.385884,47.09843706,40.0254805701929,36.7052854256302,42.7956512936914
40,2027,32.97786985,27.25267312,35.4097769,29.6236322910156,26.8586328843499,32.7682692399821
41,2027,24.23915752,17.91528935,23.34245864,19.5236954084981,17.6640141102825,21.5786995569704
42,2027,15.05520049,11.16947176,14.64172479,12.4594451945913,11.2267082041544,13.7999587286813
43,2027,8.836966348,6.549263346,8.61362802,7.07630427555691,6.3713464404088,7.84420328647523
44,2027,5.145532695,3.803857643,5.02576392,4.05613621754946,3.64944891725651,4.50317935250915
45,2027,2.652259436,2.648089363,2.59165309,2.30018991267425,2.0743700551507,2.55849849601489
46,2027,3.584580944,3.578945008,3.502670272,2.92480218289077,2.63766136526277,3.25325397908866
47,2027,3.584580944,3.578945008,3.502670272,2.92480218289077,2.63766136526277,3.25325397908866
48,2027,3.584580944,3.578945008,3.502670272,2.92480218289077,2.63766136526277,3.25325397908866
